coin,start_price,end_price,price_change_pct,avg_volume
dogecoin,0.16161157386392275,0.1724103485197474,6.681931496389761,4614117172.539272
pepe,9.114826428046003e-6,8.892586977167061e-6,-2.4382192314174986,2207913634.759334
bonk,2.019004499279929e-5,1.9585984554434687e-5,-2.9918726708139514,437308917.66619384
shiba-inu,1.793105769050979e-5,1.3242587223942173e-5,-26.147205298709412,913577363.0375444
floki,1.3865890889073e-4,8.931497971557667e-5,-35.586555216613434,336451193.2113022
mog-coin,1.997203616240718e-6,5.963031699407827e-7,-70.14309582198796,36417760.12318927
dogwifcoin,2.3799845953824343,0.6329233733550909,-73.40640882369293,619886131.8457987
popcat,1.5585999585612744,0.3976463219451556,-74.48695415645858,107159864.1655468
brett,0.00195743745366194,4.4731197234147e-4,-77.14808350557273,37095.39586555449
book-of-meme,0.0081790994468452,0.00158850447026347,-80.57849179378569,221663622.97916162
